height(cm),weight(kg),gender,size
167.64000000000001,83.91458845000001,Male,XL-Large
180.34,70.30681735,Male,Medium
175.26,83.91458845000001,Male,XL-Large
187.96,93.44002822,Male,XX-Large
175.26,96.16158244,Male,X-Large
180.34,86.1825503,Male,XL-Large
175.26,106.59420695,Male,XX-Large
170.18,73.93555631000001,Male,XL-Large
172.72,72.57477920000001,Male,Large
180.34,87.08973504000001,Male,XX-Large
162.56,46.72001411,Male,Small
167.64000000000001,79.37866475,Male,XL-Large
182.88,98.88313666,Male,XX-Large
182.88,113.3980925,Male,X-Large
180.34,82.10021897,Male,XL-Large
180.34,112.49090776,Male,Large
198.12,91.17206637000001,Male,XL-Large
180.34,94.80080533,Male,XL-Large
180.34,85.72895793,Male,XX-Large
175.26,85.27536556,Male,XL-Large
187.96,94.34721296000001,Male,XX-Large
180.34,92.07925111,Male,XL-Large
165.1,74.38914868,Male,XL-Large
172.72,84.82177319,Male,XL-Large
170.18,73.93555631000001,Male,Large
180.34,83.91458845000001,Male,XL-Large
175.26,97.52235955,Male,X-Large
182.88,74.84274105,Male,XL-Large
180.34,65.77089365,Male,Medium
175.26,68.0388555,Male,Medium
175.26,73.93555631000001,Male,XL-Large
180.34,67.58526313,Male,Small
167.64000000000001,80.73944186,Male,XX-Large
187.96,86.1825503,Male,XL-Large
182.88,79.37866475,Male,XL-Large
172.72,81.19303423000001,Male,XL-Large
175.26,76.65711053,Male,XL-Large
170.18,85.27536556,Male,XL-Large
185.42000000000002,90.718474,Male,XL-Large
198.12,82.55381134000001,Male,XL-Large
175.26,84.82177319,Male,XL-Large
193.04,115.66605435000001,Male,XX-Large
167.64000000000001,84.36818082,Male,XL-Large
177.8,95.2543977,Male,Large
187.96,104.32624510000001,Male,X-Large
177.8,86.63614267,Male,XX-Large
167.64000000000001,75.74992579,Male,XL-Large
167.64000000000001,81.6466266,Male,XX-Large
182.88,97.52235955,Male,XX-Large
190.5,74.84274105,Male,Medium
185.42000000000002,80.28584949,Male,XL-Large
172.72,72.57477920000001,Male,Large
177.8,72.57477920000001,Male,Medium
170.18,74.84274105,Male,XL-Large
177.8,85.72895793,Male,XL-Large
167.64000000000001,69.85322498000001,Male,Medium
177.8,81.6466266,Male,XL-Large
195.58,99.33672903,Male,XL-Large
180.34,87.54332741,Male,XL-Large
162.56,72.57477920000001,Male,XL-Large
185.42000000000002,73.48196394,Male,Large
182.88,72.12118683,Male,Medium
182.88,128.36664071,Male,3X-Large
185.42000000000002,95.2543977,Male,XX-Large
167.64000000000001,102.05828325,Male,X-Large
175.26,81.6466266,Male,XX-Large
172.72,83.00740371,Male,XL-Large
175.26,85.27536556,Male,XL-Large
180.34,76.20351816,Male,XL-Large
172.72,73.02837157,Male,XL-Large
177.8,72.57477920000001,Male,XL-Large
170.18,86.1825503,Male,Large
160.02,54.4310844,Male,Medium
172.72,74.84274105,Male,XL-Large
185.42000000000002,93.89362059,Male,XX-Large
165.1,92.98643585,Male,XX-Large
172.72,92.07925111,Male,XX-Large
167.64000000000001,97.52235955,Male,X-Large
167.64000000000001,68.0388555,Male,Medium
187.96,97.52235955,Male,XL-Large
190.5,108.8621688,Male,XX-Large
167.64000000000001,90.718474,Male,XX-Large
182.88,77.1107029,Male,Medium
190.5,124.73790175,Male,XX-Large
180.34,88.45051215000001,Male,XL-Large
187.96,69.39963261,Male,Medium
175.26,73.93555631000001,Male,Medium
170.18,79.37866475,Male,Large
175.26,71.21400209000001,Male,Medium
185.42000000000002,99.79032140000001,Male,XX-Large
177.8,83.91458845000001,Male,XX-Large
187.96,117.9340162,Male,X-Large
175.26,83.91458845000001,Male,XL-Large
172.72,70.30681735,Male,Medium
180.34,74.84274105,Male,Medium
180.34,108.40857643000001,Male,X-Large
190.5,102.05828325,Male,XX-Large
167.64000000000001,65.77089365,Male,Medium
167.64000000000001,93.44002822,Male,XX-Large
177.8,95.70799007000001,Male,XX-Large
170.18,70.30681735,Male,Medium
167.64000000000001,79.37866475,Male,XL-Large
170.18,76.65711053,Male,XL-Large
175.26,102.05828325,Male,X-Large
177.8,102.05828325,Male,XX-Large
182.88,93.44002822,Male,XL-Large
170.18,74.84274105,Male,XL-Large
167.64000000000001,78.01788764,Male,XL-Large
182.88,90.718474,Male,XX-Large
198.12,80.73944186,Male,XL-Large
182.88,81.6466266,Male,XL-Large
177.8,63.502931800000006,Male,Medium
170.18,75.74992579,Male,XL-Large
175.26,79.37866475,Male,Large
165.1,81.6466266,Male,XX-Large
167.64000000000001,72.57477920000001,Male,XL-Large
165.1,85.27536556,Male,XL-Large
185.42000000000002,112.49090776,Male,XX-Large
175.26,74.84274105,Male,XL-Large
187.96,90.718474,Male,XL-Large
175.26,81.6466266,Male,XL-Large
190.5,83.91458845000001,Male,XL-Large
177.8,97.52235955,Male,X-Large
185.42000000000002,96.61517481,Male,XX-Large
180.34,92.07925111,Male,XL-Large
160.02,58.9670081,Male,Small
182.88,79.37866475,Male,XL-Large
193.04,83.91458845000001,Male,XL-Large
167.64000000000001,83.91458845000001,Male,XX-Large
170.18,78.01788764,Male,XL-Large
170.18,86.1825503,Male,XX-Large
167.64000000000001,85.72895793,Male,XX-Large
180.34,102.05828325,Male,XX-Large
167.64000000000001,80.28584949,Male,XX-Large
190.5,104.32624510000001,Male,XX-Large
172.72,93.89362059,Male,XX-Large
170.18,66.67807839000001,Male,Medium
175.26,83.91458845000001,Male,XX-Large
177.8,81.6466266,Male,XL-Large
162.56,71.66759446,Male,XL-Large
170.18,86.1825503,Male,XX-Large
182.88,80.73944186,Male,Medium
172.72,74.84274105,Male,XL-Large
177.8,84.82177319,Male,XL-Large
180.34,61.23496995,Male,Small
187.96,79.37866475,Male,Medium
182.88,72.57477920000001,Male,Medium
185.42000000000002,91.62565874,Male,XL-Large
187.96,86.1825503,Male,Medium
175.26,86.1825503,Male,XL-Large
170.18,69.39963261,Male,Medium
182.88,110.67653828,Male,XX-Large
172.72,65.77089365,Male,Medium
175.26,72.57477920000001,Male,Medium
175.26,72.57477920000001,Male,Large
180.34,83.91458845000001,Male,XL-Large
190.5,95.2543977,Male,Large
177.8,70.30681735,Male,Medium
193.04,102.05828325,Male,XL-Large
175.26,77.1107029,Male,Medium
180.34,81.6466266,Male,XX-Large
182.88,79.37866475,Male,Large
182.88,80.73944186,Male,XL-Large
187.96,81.6466266,Male,Large
177.8,65.77089365,Male,Medium
190.5,93.44002822,Male,XL-Large
167.64000000000001,90.718474,Male,XX-Large
187.96,113.3980925,Male,X-Large
160.02,76.20351816,Male,XX-Large
